,year,LAD,comparative_adv,Topics
197,2014,Cardiff,0.0,e-Commerce
198,2015,Cardiff,0.0,e-Commerce
200,2012,Swansea,0.0,e-Commerce
201,2013,Swansea,0.0,e-Commerce
202,2014,Swansea,0.0,e-Commerce
203,2015,Swansea,0.0,e-Commerce
205,2012,Gwynedd,0.0,e-Commerce
206,2013,Gwynedd,0.0,e-Commerce
207,2014,Gwynedd,0.0,e-Commerce
208,2015,Gwynedd,0.0,e-Commerce
210,2012,Pembrokeshire,0.0,"Website Development (ruby, java)"
211,2013,Pembrokeshire,0.0,"Website Development (ruby, java)"
212,2014,Pembrokeshire,0.0,"Website Development (ruby, java)"
213,2015,Pembrokeshire,0.09633530730655636,"Website Development (ruby, java)"
215,2012,Blaenau Gwent,0.0,"Website Development (ruby, java)"
216,2013,Blaenau Gwent,0.0,"Website Development (ruby, java)"
217,2014,Blaenau Gwent,0.0,"Website Development (ruby, java)"
218,2015,Blaenau Gwent,0.0,"Website Development (ruby, java)"
220,2012,Carmarthenshire,0.0,"Website Development (ruby, java)"
221,2013,Carmarthenshire,0.0,"Website Development (ruby, java)"
222,2014,Carmarthenshire,0.0,"Website Development (ruby, java)"
223,2015,Carmarthenshire,0.0,"Website Development (ruby, java)"
225,2012,Cardiff,0.03585252875253686,"Website Development (ruby, java)"
226,2013,Cardiff,0.3349964421443048,"Website Development (ruby, java)"
227,2014,Cardiff,0.6869418337313226,"Website Development (ruby, java)"
228,2015,Cardiff,0.4440082964808935,"Website Development (ruby, java)"
230,2012,Swansea,0.0,"Website Development (ruby, java)"
231,2013,Swansea,0.0,"Website Development (ruby, java)"
232,2014,Swansea,0.5908527700352896,"Website Development (ruby, java)"
233,2015,Swansea,0.9601109792816322,"Website Development (ruby, java)"
235,2012,Gwynedd,0.0,"Website Development (ruby, java)"
236,2013,Gwynedd,0.0,"Website Development (ruby, java)"
237,2014,Gwynedd,0.0,"Website Development (ruby, java)"
238,2015,Gwynedd,0.17497473462961266,"Website Development (ruby, java)"
240,2012,Pembrokeshire,0.0,Cyber Security
241,2013,Pembrokeshire,0.0,Cyber Security
242,2014,Pembrokeshire,0.0,Cyber Security
243,2015,Pembrokeshire,0.0,Cyber Security
245,2012,Blaenau Gwent,0.0,Cyber Security
246,2013,Blaenau Gwent,0.0,Cyber Security
247,2014,Blaenau Gwent,0.0,Cyber Security
248,2015,Blaenau Gwent,0.0,Cyber Security
250,2012,Carmarthenshire,0.0,Cyber Security
251,2013,Carmarthenshire,0.0,Cyber Security
252,2014,Carmarthenshire,0.0,Cyber Security
253,2015,Carmarthenshire,0.0,Cyber Security
255,2012,Cardiff,0.0,Cyber Security
256,2013,Cardiff,0.0,Cyber Security
257,2014,Cardiff,0.0,Cyber Security
258,2015,Cardiff,0.0,Cyber Security
260,2012,Swansea,0.0,Cyber Security
261,2013,Swansea,0.0,Cyber Security
262,2014,Swansea,0.0,Cyber Security
263,2015,Swansea,0.0,Cyber Security
265,2012,Gwynedd,0.0,Cyber Security
266,2013,Gwynedd,0.0,Cyber Security
267,2014,Gwynedd,0.0,Cyber Security
268,2015,Gwynedd,0.0,Cyber Security
270,2012,Pembrokeshire,0.0,Databases
271,2013,Pembrokeshire,0.0,Databases
272,2014,Pembrokeshire,0.0,Databases
273,2015,Pembrokeshire,0.0,Databases
275,2012,Blaenau Gwent,0.0,Databases
276,2013,Blaenau Gwent,0.0,Databases
277,2014,Blaenau Gwent,0.0,Databases
278,2015,Blaenau Gwent,0.0,Databases
280,2012,Carmarthenshire,0.0,Databases
281,2013,Carmarthenshire,0.0,Databases
282,2014,Carmarthenshire,0.0,Databases
283,2015,Carmarthenshire,0.0,Databases
285,2012,Cardiff,0.0,Databases
286,2013,Cardiff,1.6048393357280557,Databases
287,2014,Cardiff,1.1752611967949405,Databases
288,2015,Cardiff,2.108886887389159,Databases
290,2012,Swansea,0.0,Databases
291,2013,Swansea,0.0,Databases
292,2014,Swansea,0.34689816444919264,Databases
293,2015,Swansea,0.07517234305776861,Databases
295,2012,Gwynedd,0.0,Databases
296,2013,Gwynedd,0.0,Databases
297,2014,Gwynedd,0.0,Databases
298,2015,Gwynedd,0.0,Databases
300,2012,Pembrokeshire,0.0,Mobile development
301,2013,Pembrokeshire,0.0,Mobile development
302,2014,Pembrokeshire,0.0,Mobile development
303,2015,Pembrokeshire,0.0,Mobile development
305,2012,Blaenau Gwent,0.0,Mobile development
306,2013,Blaenau Gwent,0.0,Mobile development
307,2014,Blaenau Gwent,0.0,Mobile development
308,2015,Blaenau Gwent,0.0,Mobile development
310,2012,Carmarthenshire,0.0,Mobile development
311,2013,Carmarthenshire,0.0,Mobile development
312,2014,Carmarthenshire,0.0,Mobile development
313,2015,Carmarthenshire,0.20606377050655852,Mobile development
315,2012,Cardiff,0.0,Mobile development
316,2013,Cardiff,0.0,Mobile development
317,2014,Cardiff,0.07326998740759888,Mobile development
318,2015,Cardiff,0.27709923791020835,Mobile development
320,2012,Swansea,0.0,Mobile development
321,2013,Swansea,0.0,Mobile development
322,2014,Swansea,0.0,Mobile development
323,2015,Swansea,0.0,Mobile development
325,2012,Gwynedd,0.0,Mobile development
326,2013,Gwynedd,0.0,Mobile development
327,2014,Gwynedd,0.0,Mobile development
328,2015,Gwynedd,0.466672195764786,Mobile development
330,2012,Pembrokeshire,0.0,Design (UI/UX)
331,2013,Pembrokeshire,0.0,Design (UI/UX)
332,2014,Pembrokeshire,0.0,Design (UI/UX)
333,2015,Pembrokeshire,0.0,Design (UI/UX)
335,2012,Blaenau Gwent,0.0,Design (UI/UX)
336,2013,Blaenau Gwent,0.0,Design (UI/UX)
337,2014,Blaenau Gwent,0.0,Design (UI/UX)
338,2015,Blaenau Gwent,0.0,Design (UI/UX)
340,2012,Carmarthenshire,0.0,Design (UI/UX)
341,2013,Carmarthenshire,0.0,Design (UI/UX)
342,2014,Carmarthenshire,0.0,Design (UI/UX)
343,2015,Carmarthenshire,0.0,Design (UI/UX)
345,2012,Cardiff,0.26205596318436924,Design (UI/UX)
346,2013,Cardiff,1.1890993497335438,Design (UI/UX)
347,2014,Cardiff,2.6476048960645864,Design (UI/UX)
348,2015,Cardiff,0.9184986867117141,Design (UI/UX)
350,2012,Swansea,0.0,Design (UI/UX)
351,2013,Swansea,0.0,Design (UI/UX)
352,2014,Swansea,2.258273482497674,Design (UI/UX)
353,2015,Swansea,2.6383462622381297,Design (UI/UX)
355,2012,Gwynedd,0.0,Design (UI/UX)
356,2013,Gwynedd,0.0,Design (UI/UX)
357,2014,Gwynedd,0.0,Design (UI/UX)
358,2015,Gwynedd,0.5045191310660143,Design (UI/UX)
360,2012,Pembrokeshire,0.0,Entrepreneurship
361,2013,Pembrokeshire,0.0,Entrepreneurship
