organisation_x,organisation_y,collab_n,similarity_color_rgba
Surface Technology Systems Plc,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff & Vale University Health Board,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Haydale Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Higher Education Funding Council - Wales,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dwr Cymru Welsh Water,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University Hospital of Wales,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Local Government Association,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
SmartKem Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Corus Strip Products UK,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Eurostep Limited,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sandvik Materials Technology,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Plasma & Thermal Coatings Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Glyndwr University,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Welsh Centre for Printing and Coating,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Yuasa Battery UK Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Office for National Statistics,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morganite Electrical Carbon Ltd.,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Pilkington Special Glass,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
MTG Research Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Seren Photonics Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atraverda Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ICP Solar,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
University of South Wales,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sustainable Energy Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Silage Solutions Pty Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Zarlink Semiconductor,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Palmer environmental,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
ConvaTec Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Deregallera Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Devon County Council,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dyesol UK Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Control Techniques Drives Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Celsa Steel UK,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Merlin Circuits,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Warm Wales - Cymru Gynnes CBC,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Purolite International Ltd,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Atkins Global,Swansea University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
