,Wales,index,year
640,0.0,data_vault_database_modeling,2012
641,0.0,data_visualization,2012
642,0.0,data_warehouse,2012
643,0.0,data_warehouses,2012
644,0.0,data_warehousing,2012
645,0.0,database_design_&_development,2012
646,0.0,database_development,2012
647,0.0,database_direct_marketing,2012
648,0.0,database_engineers,2012
649,0.0,database_integration_&_migrations,2012
650,0.0,database_professionals,2012
651,0.0,dating_and_relationships,2012
652,0.0,datomic,2012
653,0.0,dba,2012
654,0.0,ddd,2012
655,0.0,debate,2012
656,0.0,decentralization,2012
657,0.0,decentralized_systems,2012
658,0.0,decision_making,2012
659,0.0,declarative_programming,2012
660,0.0,deep_learning,2012
661,0.0,delegating_&_outsourcing_for_small_business_owners,2012
662,0.0,deployment,2012
663,0.0,design_and_visualization_tools,2012
664,0.0,design_for_manufacturing,2012
665,0.0,design_futures,2012
666,0.0,design_patterns,2012
667,0.0,design_research,2012
668,0.0,design_strategy,2012
669,0.0,design_thinking,2012
670,0.0,designers,2012
671,0.0,designing_for_mobile_devices,2012
672,0.0,desktop_virtualization,2012
673,0.0,destructive_ideas,2012
674,0.0,dev_ops,2012
675,0.0,developer,2012
676,0.0,developer_advocacy,2012
677,0.0,developer_evangelism,2012
678,0.0,developing_mobile_apps,2012
679,0.0,devops,2012
680,0.0,devtools,2012
681,0.0,diabetes,2012
682,0.0,digital,2012
683,0.0,digital_&_social_media,2012
684,0.0,digital_access,2012
685,0.0,digital_activism,2012
686,0.0,digital_agencies,2012
687,0.0,digital_art,2012
688,0.0,digital_artists,2012
689,0.0,digital_asset_management,2012
690,0.0,digital_content_strategy,2012
691,0.0,digital_culture,2012
692,0.0,digital_currency,2012
693,0.0,digital_design,2012
694,0.0,digital_fabrication,2012
695,0.0,digital_future,2012
696,0.0,digital_health,2012
697,0.0,digital_inclusion,2012
698,0.0,digital_journalism,2012
699,0.0,digital_lifestyle,2012
700,0.0,digital_marketer,2012
701,0.0,digital_marketing,2012
702,0.0,digital_marketing_analytics,2012
703,0.0,digital_marketing_professionals,2012
704,0.0,digital_marketing_strategy,2012
705,0.0,digital_marketing_workshop,2012
706,0.0,digital_media,2012
707,0.0,digital_media_and_social_marketing,2012
708,0.0,digital_networking,2012
709,0.0,digital_photography,2012
710,0.0,digital_project_management,2012
711,0.0,digital_public_relations,2012
712,0.0,digital_publishing,2012
713,0.0,digital_rights,2012
714,0.0,digital_rights_management,2012
715,0.0,digital_storytelling,2012
716,0.0,digital_strategy,2012
717,0.0,digital_technologies,2012
718,0.0,digital_video,2012
719,0.0,direct_marketing,2012
720,0.0,disciplined_agile_delivery_(dad),2012
721,0.0,disruptive_innovation,2012
722,0.0,disruptive_techies_&_thinkers_making_a_difference,2012
723,0.0,disruptive_think_tank,2012
724,0.0,disruptive_thinkers,2012
725,0.0,distributed_computing,2012
726,0.0,distributed_programming_in_java,2012
727,0.0,distributed_scala_programming,2012
728,0.0,distributed_systems,2012
729,0.0,diy_(do_it_yourself),2012
730,0.0,diy_photography,2012
